"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 18:04:53 CST 2020","Thu Jun 04 18:04:54 CST 2020","1084","","testrun","TestClass","","","test_run[2-1-1-从问答页面-返回到测试首页-[""back""]-[""none""]-get_title-[""none""]-UWA - 简单优化、优化简单-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[81-0-80-从报告详情页面-运行日志页面-点击Error-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div:nth-child(2) > div.table-header > button.el-button.el-button--default.el-button--small.is-plain.btn-Error'""]-get_url-[""none""]-https://test.uwa4d.com/u/gpm/log?dataKey=20200119011251.v516ce9859&project=6821-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[91-0-90-项目页-纹理-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section.overflow-visible > div.report-content > div.main-chart.el-row > div.pa-column.el-col.el-col-7 > ul > li:nth-child(1) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-纹理-None]",""
"passed","Thu Jun 04 18:05:22 CST 2020","Thu Jun 04 18:05:25 CST 2020","3096","","testrun","TestClass","","","test_run[12-0-11-从本地资源检测报告首页-点击历史通过率-代码扫描检测-[""click""]-[""By.CSS_SELECTOR,'svg > g.highcharts-legend > g > g > g.highcharts-legend-item.highcharts-spline-series.highcharts-color-3.highcharts-series-3 > text > tspan'""]-get_attr-[""""""(By.CSS_SELECTOR,'svg > g.highcharts-legend > g > g > g.highcharts-legend-item.highcharts-spline-series.highcharts-color-3.highcharts-series-3.highcharts-legend-item-hidden')|class""""""]-highcharts-legend-item highcharts-spline-series highcharts-color-3 highcharts-series-3 highcharts-legend-item-hidden-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[89-0-88-GOT-向上-[""page_up""]-[2]-get_text-[""By.CSS_SELECTOR,'#pane-gotProjects > div > div.projects-container > div > div > div.project-content > div.project-desc > div.project-desc-header > p'""]-已完成-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[66-0-65-从报告详情页面-资源统计页面-点击资源统计-动画资源-动画资源内存占用-[""click""]-[""""""By.XPATH,'//*[@id=""uwa-main-app""]/div[2]/div[3]/div[2]/div[2]/div[1]/div[1]/label[2]/span[2]'""""""]-get_attr-[""""""(By.XPATH,'//*[@id=""uwa-main-app""]/div[2]/div[3]/div[2]/div[2]/div[1]/div[1]/label[2]')|class""""""]-el-radio is-focus is-checked-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[108-0-107-项目页-纹理资源-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > ul > li:nth-child(5) > a > span'""]-get_url-[""none""]-https://test.uwa4d.com/u/got/resource.html/asset?dataKey=20170721104021oes4f925317&project=233&assetType=AudioClip&engine=1-None]",""
"skipped","Thu Jun 04 18:03:06 CST 2020","Thu Jun 04 18:03:06 CST 2020","0","","testrun","TestClass","","","test_run[132-0-131-项目页-点击LOW-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section.overflow-visible > div.report-content > div.report > div > div > div > div.task-list.el-col.el-col-14 > div.task-filter-container > div.btn-group > button.el-button.btn-outline.el-button--default.el-button--small.btn-outline-low > span'""]-get_url-[""none""]-https://test.uwa4d.com/u/got/lua.html/report?dataKey=20200302103632qyn16ce6609&project=6977&engine=1-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[24-0-23-从报告详情页面-运行信息页面-点击硬件信息-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > ul > li:nth-child(2) > a > span'""]-get_text-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > ul > li:nth-child(2) > a > span'""]-硬件信息-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[65-0-64-从报告详情页面-资源统计页面-点击资源统计-动画资源-动画资源资源数量-[""click""]-[""""""By.XPATH,'//*[@id=""uwa-main-app""]/div[2]/div[3]/div[2]/div[2]/div[1]/div[1]/label[1]/span[2]'""""""]-get_attr-[""""""(By.XPATH,'//*[@id=""uwa-main-app""]/div[2]/div[3]/div[2]/div[2]/div[1]/div[1]/label[1]/span[1]')|class""""""]-el-radio__input is-checked-None]",""
